ccaa,zona,extra,num
"Andalucía","Almería",,001
"Andalucía","Cádiz",,002
"Andalucía","Córdoba",,003
"Andalucía","Granada",,004
"Andalucía","Huelva",,005
"Andalucía","Jaén",,006
"Andalucía","Málaga",,007
"Andalucía","Sevilla",,008
"Aragón","Huesca",,009
"Aragón","Teruel",,010
"Aragón","Zaragoza",,011
"Asturias, Principado de","Asturias",,012
"Balears, Illes","Balears, Illes","Formentera",013
"Balears, Illes","Balears, Illes","Eivissa/Ibiza",014
"Balears, Illes","Balears, Illes","Mallorca",015
"Balears, Illes","Balears, Illes","Menorca",016
"Canarias","Palmas, Las","Cabildo Insular de Fuerteventura",017
"Canarias","Palmas, Las","Cabildo Insular de Gran Canaria",018
"Canarias","Palmas, Las","Cabildo Insular de Lanzarote",019
"Canarias","Santa Cruz de Tenerife","Cabildo Insular de El Hierro",020
"Canarias","Santa Cruz de Tenerife","Cabildo Insular de Gomera",021
"Canarias","Santa Cruz de Tenerife","Cabildo Insular de La Palma",022
"Canarias","Santa Cruz de Tenerife","Cabildo Insular de Tenerife",023
"Cantabria","Cantabria",,024
"Castilla - La Mancha","Albacete",,025
"Castilla - La Mancha","Ciudad Real",,026
"Castilla - La Mancha","Cuenca",,027
"Castilla - La Mancha","Guadalajara",,028
"Castilla - La Mancha","Toledo",,029
"Castilla y León","Ávila",,030
"Castilla y León","Burgos",,031
"Castilla y León","León",,032
"Castilla y León","Palencia",,033
"Castilla y León","Salamanca",,034
"Castilla y León","Segovia",,035
"Castilla y León","Soria",,036
"Castilla y León","Valladolid",,037
"Castilla y León","Zamora",,038
"Cataluña","Area Metropolitana de Barcelona",,039
"Cataluña","Consell Comarcal D'Osona",,040
"Cataluña","Consell Comarcal de L'Alt Empordà",,041
"Cataluña","Consell Comarcal de la Cerdanya",,042
"Cataluña","Consell Comarcal de la Conca de Barberà",,043
"Cataluña","Consell Comarcal de la Garrotxa",,044
"Cataluña","Consell Comarcal de la Noguera",,045
"Cataluña","Consell Comarcal de la Ribera D'Ebre",,046
"Cataluña","Consell Comarcal de la Segarra",,047
"Cataluña","Consell Comarcal de la Selva",,048
"Cataluña","Consell Comarcal de les Garrigues",,049
"Cataluña","Consell Comarcal de L´Alt Camp",,050
"Cataluña","Consell Comarcal de L´Alt Penedès",,051
"Cataluña","Consell Comarcal de L´Alt Urgell",,052
"Cataluña","Consell Comarcal de L´Alta Ribagorça",,053
"Cataluña","Consell Comarcal de L´Anoia",,054
"Cataluña","Consell Comarcal de L´Urgell",,055
"Cataluña","Consell Comarcal del Bages",,056
"Cataluña","Consell Comarcal del Baix Camp",,057
"Cataluña","Consell Comarcal del Baix Ebre",,058
"Cataluña","Consell Comarcal del Baix Empordà",,059
"Cataluña","Consell Comarcal del Baix LLobregat",,060
"Cataluña","Consell Comarcal del Baix Penedès",,061
"Cataluña","Consell Comarcal del Bergueda",,062
"Cataluña","Consell Comarcal del Garraf",,063
"Cataluña","Consell Comarcal del Gironès",,064
"Cataluña","Consell Comarcal del la Terra Alta",,065
"Cataluña","Consell Comarcal del Maresme",,066
"Cataluña","Consell Comarcal del Montsià",,067
"Cataluña","Consell Comarcal del Pallars Jussà",,068
"Cataluña","Consell Comarcal del Pallars Sobirà",,069
"Cataluña","Consell Comarcal del Pla de L'Estany",,070
"Cataluña","Consell Comarcal del Pla D´Urgell",,071
"Cataluña","Consell Comarcal del Priorat",,072
"Cataluña","Consell Comarcal del Ripollès",,073
"Cataluña","Consell Comarcal del Segría",,074
"Cataluña","Consell Comarcal del Solsonès",,075
"Cataluña","Consell Comarcal del Tarragonès",,076
"Cataluña","Consell Comarcal del Vallès Occidental",,077
"Cataluña","Consell Comarcal del Vallés Oriental",,078
"Cataluña","Consell Generau D'Aran",,079
"Ceuta","Ceuta",,080
"Comunitat Valenciana","Alicante/Alacant",,081
"Comunitat Valenciana","Castellón/Castelló",,082
"Comunitat Valenciana","Valencia/València",,083
"Extremadura","Badajoz",,084
"Extremadura","Cáceres",,085
"Galicia","Coruña, A",,086
"Galicia","Lugo",,087
"Galicia","Ourense",,088
"Galicia","Pontevedra",,089
"Madrid, Comunidad de","Madrid",,090
"Melilla","Melilla",,091
"Murcia, Región de","Murcia",,092
"Navarra, Comunidad Foral de","Navarra",,093
"Navarra, Comunidad Foral de","Navarra","Mancomunidad Comarca de Pamplona",094
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Basuras Alto Araxes",095
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Bortiziriak-Cinco Villas",096
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de la Comarca de Sakana",097
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Mairaga",098
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Mendialdea/Mendialdea Mankomunitatea",099
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Montejurra",100
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de R.S.U. Ribera Alta de Navarra",101
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Residuos Sólidos de Bidausi",102
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Residuos Sólidos de Esca-Salazar",103
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Residuos Sólidos de la Ribera",104
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Servicios de la Comarca de Sangüesa",105
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Servicios Generales de Malerreka",106
"Navarra, Comunidad Foral de","Navarra","Mancomunidad de Valdizarbe",107
"Navarra, Comunidad Foral de","Navarra","Mancomunidad para la Gestión de R.S.U. IRATI",108
"País Vasco","Araba/Álava",,109
"País Vasco","Bizkaia",,110
"País Vasco","Gipuzkoa",,111
"Rioja, La","Rioja, La",,112


# Local Variables:
# eval: (flyspell-mode -1)
# End:
