"mun","fix_mun"
"Alcocer de Planes","Alcosser"
"Alcoy/Alcoi","Alcoi/Alcoy"
"Alfarp","Alfarb"
"Algar de Palancia","Algar de Palància"
"Algimia de Alfara","Algímia d'Alfara"
"Alicante/Alacant","Alacant/Alicante"
"Arrankudiaga","Arrankudiaga-Zollo"
"Atez/Atetz","Atetz"
"Beniardá","Beniardà"
"Benicasim/Benicàssim","Benicàssim/Benicasim"
"Benitachell/Poble Nou de Benitatxell, el","Poble Nou de Benitatxell, el/Benitachell"
"Benlloch","Benlloc"
"Bigues i Riells","Bigues i Riells del Fai"
"Bisbal de Falset, La","Bisbal de Montsant, La"
"Brunyola","Brunyola i Sant Martí Sapresa"
"Calonge","Calonge i Sant Antoni"
"Campo de Mirra/Camp de Mirra, el","Camp de Mirra, el/Campo de Mirra"
"Candín","Valle de Ancares"
"Castell-Platja d'Aro","Castell d'Aro, Platja d'Aro i s'Agaró"
"Castellón de la Plana/Castelló de la Plana","Castelló de la Plana/Castellón de la Plana"
"Chodos/Xodos","Xodos/Chodos"
"Elche/Elx","Elx/Elche"
"Ènova, l'","Énova, l'"
"Facheca","Fageca"
"Font d'En Carròs, la","Font d'en Carròs, la"
"Genovés","Genovés, el"
"Herbés","Herbers"
"Higuera","Higuera de Albalat"
"Iglesuela, La","Iglesuela del Tiétar, La"
"Jarque","Jarque de Moncayo"
"Jávea/Xàbia","Xàbia/Jávea"
"Jijona/Xixona","Xixona/Jijona"
"Juslapeña","Juslapeña/Txulapain"
"Láujar de Andarax","Laujar de Andarax"
"Lezáun","Lezaun"
"Lizoáin-Arriasgoiti","Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti"
"Lorcha/Orxa, l'","Orxa, l'/Lorcha"
"Lumbreras","Lumbreras de Cameros"
"Maó-Mahón","Maó"
"Masarac","Masarac i Vilarnadal"
"Medina-Sidonia","Medina Sidonia"
"Mendigorría","Mendigorria"
"Mogente/Moixent","Moixent/Mogente"
"Moncada","Montcada/Moncada"
"Monóvar/Monòver","Monòver/Monóvar"
"Náquera","Nàquera/Náquera"
"Novelé/Novetlè","Novetlè"
"Oropesa del Mar/Orpesa","Orpesa/Oropesa del Mar"
"Pueyo","Pueyo/Puiu"
"Ribera Baja/Erribera Beitia","Ribera Baja/Erriberabeitia"
"Romanzado","Romanzado/Erromantzatua"
"Rótova","Ròtova"
"Sagunto/Sagunt","Sagunt/Sagunto"
"San Vicente del Raspeig/Sant Vicent del Raspeig","Sant Vicent del Raspeig/San Vicente del Raspeig"
"Sant Carles de la Ràpita","Ràpita, La"
"Santa María Rivarredonda","Santa María Ribarredonda"
"Sueras/Suera","Suera/Sueras"
"Torre d'En Besora, la","Torre d'en Besora, la"
"Torremanzanas/Torre de les Maçanes, la","Torre de les Maçanes, la/Torremanzanas"
"Useras/Useres, les","Useres, les/Useras"
"Vall de Gallinera","Vall de Gallinera, la"
"Villafranca del Cid/Vilafranca","Vilafranca/Villafranca del Cid"
"Villajoyosa/Vila Joiosa, la","Vila Joiosa, la/Villajoyosa"
"Villanueva de Castellón","Castelló"
