var, var_label
netincp, Renta neta media por persona
netinch, Renta neta media por hogar
avgincu, Media de la renta por unidad de consumo
medincu, Mediana de la renta por unidad de consumo
grsincp, Renta bruta media por persona
grsinch, Renta bruta media por hogar
avgage, Edad media de la población
lt18pct, Porcentaje de población menor de 18 años
gt65pct, Porcentaje de población de 65 y más años
hhsize, Tamaño medio del hogar
hh1pct, Porcentaje de hogares unipersonales
pop, Población
natpct, Porcentaje de población española
gini, Índice de Gini
p8020, Distribución de la renta P80/P20
