"year","mun","cont","kg"
2022,"Abanto",1,1000
2022,"Acered",1,1100
2022,"Agón",0,0
2022,"Aguarón",6,9800
2022,"Aguilón",4,2600
2022,"Ainzón",0,0
2022,"Aladrén",2,2500
2022,"Alagón",42,76320
2022,"Alarba",2,2200
2022,"Alberite de San Juan",0,0
2022,"Albeta",0,0
2022,"Alborge",2,2800
2022,"Alcalá de Ebro",4,7300
2022,"Alcalá de Moncayo",4,4200
2022,"Alconchel de Ariza",1,2400
2022,"Aldehuela de Liestos",1,1400
2022,"Alfajarín",21,23740
2022,"Alfamén",10,15480
2022,"Alforque",2,400
2022,"Alhama de Aragón",11,19140
2022,"Almochuel",2,800
2022,"Almolda, La",5,6100
2022,"Almonacid de la Cuba",2,2400
2022,"Almonacid de la Sierra",8,12740
2022,"Almunia de Doña Godina, La",46,89460
2022,"Alpartir",7,5100
2022,"Ambel",0,0
2022,"Anento",2,2400
2022,"Aniñón",6,10860
2022,"Añón de Moncayo",4,5280
2022,"Aranda de Moncayo",2,700
2022,"Arándiga",3,4880
2022,"Ardisa",2,2200
2022,"Ariza",10,12660
2022,"Artieda",1,2800
2022,"Asín",2,2800
2022,"Atea",1,1200
2022,"Ateca",10,30740
2022,"Azuara",4,7700
2022,"Badules",1,1500
2022,"Bagüés",1,0
2022,"Balconchán",1,400
2022,"Bárboles",2,2400
2022,"Bardallur",2,1700
2022,"Belchite",11,9000
2022,"Belmonte de Gracián",1,3300
2022,"Berdejo",1,1100
2022,"Berrueco",1,1700
2022,"Biel",4,6360
2022,"Bijuesca",2,2600
2022,"Biota",6,11000
2022,"Bisimbre",0,0
2022,"Boquiñeni",4,8180
2022,"Bordalba",1,500
2022,"Borja",0,296080
2022,"Botorrita",7,7020
2022,"Brea de Aragón",10,10100
2022,"Bubierca",1,1700
2022,"Bujaraloz",7,22980
2022,"Bulbuente",0,0
2022,"Bureta",0,0
2022,"Burgo de Ebro, El",13,20840
2022,"Buste, El",1,1300
2022,"Cabañas de Ebro",6,5500
2022,"Cabolafuente",2,600
2022,"Cadrete",27,30980
2022,"Calatayud",113,310580
2022,"Calatorao",9,21900
2022,"Calcena",2,3300
2022,"Calmarza",1,1300
2022,"Campillo de Aragón",2,1500
2022,"Carenas",2,4000
2022,"Cariñena",33,76820
2022,"Caspe",55,119020
2022,"Castejón de Alarba",1,1100
2022,"Castejón de las Armas",1,2100
2022,"Castejón de Valdejasa",2,5400
2022,"Castiliscar",2,5300
2022,"Cervera de la Cañada",2,9400
2022,"Cerveruela",1,2200
2022,"Cetina",6,11780
2022,"Chiprana",4,3800
2022,"Chodes",2,1400
2022,"Cimballa",2,1400
2022,"Cinco Olivas",2,400
2022,"Clarés de Ribota",2,1200
2022,"Codo",1,1400
2022,"Codos",1,1900
2022,"Contamina",2,900
2022,"Cosuenda",8,2400
2022,"Cuarte de Huerva",49,147100
2022,"Cubel",1,1700
2022,"Cuerlas, Las",1,1500
2022,"Daroca",19,37780
2022,"Ejea de los Caballeros",81,227020
2022,"Embid de Ariza",1,700
2022,"Encinacorba",2,3400
2022,"Épila",16,23760
2022,"Erla",4,7100
2022,"Escatrón",13,19900
2022,"Fabara",6,11000
2022,"Farlete",3,5700
2022,"Fayón",4,8300
2022,"Fayos, Los",3,5100
2022,"Figueruelas",8,15000
2022,"Fombuena",1,900
2022,"Frago, El",1,2400
2022,"Frasno, El",6,7060
2022,"Fréscano",0,0
2022,"Fuendejalón",0,0
2022,"Fuendetodos",4,3400
2022,"Fuentes de Ebro",36,58220
2022,"Fuentes de Jiloca",1,1900
2022,"Gallocanta",3,2700
2022,"Gallur",15,28280
2022,"Gelsa",6,11140
2022,"Godojos",1,1500
2022,"Gotor",1,3700
2022,"Grisel",1,3800
2022,"Grisén",4,6000
2022,"Herrera de los Navarros",4,10440
2022,"Ibdes",4,5800
2022,"Illueca",13,22780
2022,"Isuerre",2,0
2022,"Jaraba",9,15780
2022,"Jarque",3,2900
2022,"Jaulín",2,2300
2022,"Joyosa, La",9,18000
2022,"Lagata",1,800
2022,"Langa del Castillo",2,2100
2022,"Layana",1,2000
2022,"Lécera",5,14300
2022,"Lechón",1,1200
2022,"Leciñena",7,21600
2022,"Letux",1,1800
2022,"Litago",2,4600
2022,"Lituénigo",2,3500
2022,"Lobera de Onsella",2,2300
2022,"Longares",10,16880
2022,"Longás",2,1900
